#,Saved,Author,Tweet text,Category,Usefulness,Target project,Action,Reason,Tweet URL,Outbound links,Candidate resources,Risk notes
90,2026-07-20T23:03:00,@Jasperli0122,"Jasper Li
@Jasperli0122
·
Jul 20
Replying to 
@Jasperli0122
Try it now:
Monid — Connect your agent to every tool it needs.
From monid.ai
1
2
975",agent-integration,high,general/cloud-index,research-later,Monid promises a unified connection layer between agents and external tools.,https://x.com/Jasperli0122/status/2079341331759919550,https://t.co/crxYMWYaQ3,"Monid
monid.ai
https://t.co/crxYMWYaQ3","Connector hub may access many accounts; review OAuth scopes, secret storage, isolation, logs, and revocation."
91,2026-07-20T12:18:42,@denysdovhan,"den the dev 👨‍💻
@denysdovhan
·
Jul 20
Replying to 
@denysdovhan
skill:
GitHub - ayghri/i-have-adhd: A skill to stop your coding agent from burying the answer. ADHD-frie...
From github.com
4
5
171
15K",agent-skills,high,general/cloud-index,install,ADHD-friendly skill designed to make coding-agent answers concise and action-oriented.,https://x.com/denysdovhan/status/2079179190507565147,https://t.co/8Rk2XHKcn9,"ayghri/i-have-adhd
https://t.co/8Rk2XHKcn9",Third-party instructions should be audited and version-pinned; may overcompress nuanced tasks.
93,2026-07-16T18:58:25,@Kimi_Moonshot,"Kimi.ai
@Kimi_Moonshot
·
Jul 16
Introducing Kimi K3: Open Frontier Intelligence

🔹 2.8 Trillion Parameters, 1 Million Context, Native Multimodal
🔹 Kimi Delta Attention enables up to 6.3x faster decoding in million-token contexts
🔹 Attention Residuals deliver ~25% higher training efficiency at <2% additional
Show more
1.7K
11K
57K
25M",foundation-models,high,general/cloud-index,research-later,Large multimodal model release claims million-token context and more efficient long-context decoding.,https://x.com/Kimi_Moonshot/status/2077830229968683203,,"Kimi K3
Kimi Delta Attention
Attention Residuals",Vendor claims need independent benchmarks; model is far too large for this Mac and should use hosted access.
94,2026-07-13T09:44:39,@mikenevermiss,"MIKE
@mikenevermiss
·
Jul 13
Claude Fable 5 is actually a beast for web design.

this guy just dropped a full guide on how to design and build interactive animated 3D websites with Claude Code + Fable 5

(complete prompts in the comments)

watch the video and read the full guidelines on the article below
Quote
Leon Lin
@LexnLin
·
Jul 12
 Article
How To Actually Design With AI
Design has always been one of the areas where AI struggles to match human ability. But most people still misunderstand what designing with AI actually means. Designing with AI does not mean asking it...
82
357
3.5K
673K",web-design,high,lab-zero-website,add-reference,Design-focused guide with complete prompts for interactive 3D sites.,https://x.com/mikenevermiss/status/2076603705323892815,,"How To Actually Design With AI
Claude Code
Claude Fable 5",3D design can impair speed and accessibility; verify originality and asset licenses.
97,2026-06-28T14:57:52,@monokern,"monokern
@monokern
·
Jun 28
 Article
How to Build a $10,000-Level Website With Animations in Claude Code
Agencies charge $5,000 for a portfolio site that looks this good
I built mine in 2 hours. Here's exactly how
This is the real walkthrough - not a generic template guide 
I'm using my own portfolio as...
61
353
3.2K
3.1M",web-design,high,imtisaal-portfolio,add-reference,Detailed animated portfolio-site walkthrough is directly relevant to personal site work.,https://x.com/monokern/status/2071246711222055363,,"How to Build a $10,000-Level Website With Animations in Claude Code","Dollar-value framing is marketing; prioritize accessibility, maintainability, and originality."
99,2026-07-16T12:33:31,@sairahul1,"Rahul
@sairahul1
·
Jul 16
Someone turned Claude into an entire company.

42 skills, organised like a real org chart (links below):

Here is every department, and where to get each one.

Developers

Superpowers → 
http://
github.com/obra/superpowe
rs
…
Context7 → 
http://
github.com/upstash/contex
t7
…
Skill Creator →
Show more
Quote
Rahul
@sairahul1
·
Jul 16
 Article
How To Build a Multi-Model AI Team in 2026
You are losing hours every week to a problem nobody talks about.
You use Claude to research. ChatGPT to write. Gemini to explore.
And every time you switch tools, you start from zero.
Copy. Paste....
 Made with AI
54
651
3.6K
843K",agent-skills,high,general/cloud-index,research-later,Large role-organized skill collection includes established developer resources.,https://x.com/sairahul1/status/2077733367358079309,"https://t.co/DTcROo2MvH
https://t.co/5UIwubYM4W","https://github.com/obra/superpowers
https://github.com/upstash/context7
Skill Creator
42-skill AI organization","Do not bulk-install; audit each skill, permissions, dependencies, overlap, and maintenance status."
104,2026-07-05T15:40:05,@_Shiva_iitp,"Shiva
@_Shiva_iitp
·
Jul 5
If you're a backend engineer,
Please learn:

> SOLID design principles
> Multithreading
> Immutability
> Streaming & messaging
> Caching
> Idempotency
> Security
> SSL, JWT, OAuth
> Design patterns (Factory, Decorator, Singleton, Observer/Observable)
> TDD (Test-Driven
Show more
7
11
118
5.8K",backend-engineering,high,general/cloud-index,add-reference,"Solid checklist of backend fundamentals spanning concurrency, security, architecture, and testing.",https://x.com/_Shiva_iitp/status/2073794050738807228,,"SOLID
multithreading
streaming and messaging
caching
idempotency
SSL
JWT
OAuth
TDD",A topic list is not a curriculum; prioritize based on project needs and use current primary documentation.
105,2026-07-03T16:26:00,@_Shiva_iitp,"Shiva
@_Shiva_iitp
·
Jul 3
Who's gonna tell vibe coders about...

> Rate Limiting
> Caching
> Load Balancing
> Reverse Proxies
> API Gateways
> CI/CD
> Docker
> Kubernetes
> Service Discovery
> Circuit Breakers
> Timeouts
> Retries
> Exponential Backoff
> Idempotency
> Message Queues
> Pub/Sub
>
Show more
125
335
2.5K
129K",systems-engineering,high,general/cloud-index,add-reference,Useful production-systems checklist for moving beyond prototype-only development.,https://x.com/_Shiva_iitp/status/2073080828897444294,,"rate limiting
load balancing
reverse proxies
API gateways
CI/CD
Docker
Kubernetes
circuit breakers
retries
message queues
pub/sub",Do not add infrastructure prematurely; choose only what measured scale and reliability needs justify.
108,2026-07-01T16:24:05,@real_deep_ml,"Deep-ML
@real_deep_ml
·
Jul 1
We just added interview prep for two Jane Street roles: 
- Machine Learning Engineer 
- Quantitative Researcher.

The prep walks you through what to study for each round, what to expect in the interview process, and which projects you can build for your resume to increase your
Show more
11
60
1.4K
413K",career,high,imtisaal-portfolio,research-later,Role-specific interview preparation for Jane Street ML engineer and quantitative researcher paths.,https://x.com/real_deep_ml/status/2072355573467697505,,Deep-ML Jane Street interview prep,Third-party guide; compare with Jane Street's official preparation material and current roles.
118,2026-06-05T14:50:09,@curlysaarthak,"juggernaut
@curlysaarthak
·
Jun 5
jane street has some interesting blogs
too bad it would take a week to understand each 


https://
blog.janestreet.com/using-group-th
eory-to-explore-positional-encodings-attention/
…


https://
blog.janestreet.com/can-you-revers
e-engineer-our-neural-network/
…


https://
blog.janestreet.com/i-design-with-
claude-code-more-than-figma-now-index/
…


https://
blog.janestreet.com/visualizing-pi
ecewise-linear-neural-networks/
…
37
280
3.1K
899K",ai-learning,high,general/cloud-index,add-reference,"Four deep technical Jane Street articles span attention math, model reverse engineering, AI-assisted design, and neural-network visualization.",https://x.com/curlysaarthak/status/2062909849508487202,"https://t.co/Z00MpzUDiU
https://t.co/qMXCn5wO8J
https://t.co/OdSGZzzYSY
https://t.co/kTgOenAhVT","https://blog.janestreet.com/using-group-theory-to-explore-positional-encodings-attention/
https://blog.janestreet.com/can-you-reverse-engineer-our-neural-network/
https://blog.janestreet.com/i-design-with-claude-code-more-than-figma-now-index/
https://blog.janestreet.com/visualizing-piecewise-linear-neural-networks/",Advanced material is time-intensive; index remotely and read selectively.
121,2026-06-03T16:04:23,@_adishj,"Adish Jain ☕️
@_adishj
·
Jun 3
we’re launching Motion, the frontier agent for tasteful motion design.

this launch video is made entirely with Motion. 👇🏽

QT + comment ""MOTION"" to get 1,000 free credits.

tag 
@motion_so
 in any X post for a surprise.

now generally available at motion [dot] so.
0:01 / 1:20
264
173
594
934K",motion-design,high,lab-zero-website,research-later,Dedicated agent for motion-design generation with a concrete launch example.,https://x.com/_adishj/status/2062203755718930550,,"Motion
motion.so","Engagement-gated credit promotion; verify pricing, rights, data retention, export quality, and accessibility."
122,2026-05-17T20:25:27,@paonx_eth,"Paone
@paonx_eth
·
May 17
Jane Street rejected this vibe-coder at $385K/year because he refused to use Claude Code

32-min of vibe coding RIGHT during an interview at a Tier 1 fund

you watch the entire process: live coding, pressure questions, the moment they realize his stack doesn't match theirs

every
Show more
Quote
Paone
@paonx_eth
·
May 16
Citadel CEO Ken Griffin started trading with $265K borrowed from his grandmother in a Harvard dorm room

now Citadel has $90B in fund profits

35-min interview where he tells the full story himself -> origin, the 1987 crash that built him, why technology is the moat, and his view  x.com/paonx_eth/stat…
Readers added context they thought people might want to know
The featured video is an official mock Jane Street coding interview between two of its software engineers, Grace and Nolen (@itseieio), with no mention of rejection or AI tools like Claude Code. youtube.com/watch?v=V8DGdP… janestreet.com/preparing-for-…
Do you find this helpful?
Rate it
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
83
102
2.8K
3.5M",career,high,imtisaal-portfolio,add-reference,Community context exposes clickbait and points to the actual official Jane Street mock interview and prep page.,https://x.com/paonx_eth/status/2056108858180006108,"https://t.co/rBFp1BciLQ
https://t.co/igZeKNTPpX","official Jane Street mock coding interview
Jane Street preparing-for-interviews page
https://t.co/rBFp1BciLQ
https://t.co/igZeKNTPpX","Ignore the fabricated salary, rejection, and Claude Code claims; rely on official sources."
125,2026-05-16T18:09:08,@andruyeung,"Andrew Yeung
@andruyeung
·
May 16
If you know Claude Code, can write persuasively, can speak in front of an audience, have decent taste in design, and are organized, likable, and a quick learner, you basically have your pick of jobs right now.
58
20
771
44K",career,high,imtisaal-portfolio,inspiration,"Good multidisciplinary career signal: AI coding, persuasive communication, public speaking, design taste, organization, and learning speed.",https://x.com/andruyeung/status/2055712165873541368,,Claude Code,Broad labor-market claim is anecdotal; demonstrate skills with evidence rather than buzzwords.
127,2026-05-13T14:40:06,@dsmproengineer,"DSM Pro Engineering
@dsmproengineer
·
May 13
Replying to 
@willcb
Yes, this is why you have custom validators/linters to clean up the mess. Feed the validator/linter output to an Claude code, tell it to clean the problems, and it cleans up automatically. It all depends on the power of your validator. Smart validators will check for architecture
1
1.3K",code-quality,high,general/cloud-index,add-reference,Strong pattern: feed deterministic validator and linter findings back to an agent for bounded cleanup.,https://x.com/dsmproengineer/status/2054572397122957464,,"custom validators
linters
Claude Code",Agents must not auto-fix without tests and review; linters cannot prove architecture correctness.
128,2026-05-11T13:33:24,@awaisaftab,"Awais Aftab
@awaisaftab
·
May 11
When patients ask, “What disorder do I really ‘have’?” the honest answer is usually more interesting and messier than a single label. I wrote for the 
@nytimes
 on what I wish people understood about diagnoses and the nature of mental health problems.
Opinion | Here’s What Psychiatrists Mean When They Say You Have A.D.H.D. (Gift Article)
From nytimes.com
30
195
546
143K",mental-health,high,general/cloud-index,add-reference,Psychiatrist-authored explanation of why diagnoses such as ADHD are useful but not simple essences.,https://x.com/awaisaftab/status/2053830838832230762,https://t.co/ua2g6PzeAZ,"NYT Opinion: Here's What Psychiatrists Mean When They Say You Have A.D.H.D.
https://t.co/ua2g6PzeAZ","Opinion article, not personal diagnosis or treatment advice."
129,2026-05-11T19:17:55,@yasser_elsaid_,"Yasser
@yasser_elsaid_
·
May 11
I'm hiring a for 2 roles.

 1. founding GTM
 2. founding growth

Toronto and SF.

For founding GTM, you'll own a full-cycle sales motion for mid-market and early enterprise: prospecting, qualifying, demoing, and closing your own deals.

For founding growth, you'll work on things
Show more
34
19
318
32K",career,high,imtisaal-portfolio,research-later,Specific Toronto/SF founding GTM and growth job lead.,https://x.com/yasser_elsaid_/status/2053917537998627012,,"founding GTM role
founding growth role","Post is months old; verify employer identity, availability, compensation, and authorization directly."
131,2026-05-11T14:34:26,@PrajwalTomar_,"Prajwal Tomar
@PrajwalTomar_
·
May 11
Replying to 
@PrajwalTomar_
FULL Prompt:

""Design an intoxicatingly beautiful landing page for Maison Vaucluse, a lavender farm and artisan perfumery estate in the Luberon hills of Provence. The hero section features a cinematic video (shot on Panavision Millennium DXL2 with vintage Primo anamorphic lenses
Show more
12
1.3K",prompt-design,high,lab-zero-website,add-reference,Rich example prompt for a cinematic luxury landing page with concrete art-direction vocabulary.,https://x.com/PrajwalTomar_/status/2053846195207119088,,Maison Vaucluse landing-page prompt,"Prompt is truncated and may overproduce decorative, inaccessible design; verify asset rights."
132,2026-04-30T20:41:13,@shivsakhuja,"Shiv
@shivsakhuja
·
Apr 30
Launching goose-graphics – graphic design templates + skill for your agents.

Goose graphics is a skill + a library of curated styles and formats to turn Claude into a master graphic designer.

Claude is awesome at creating HTML files. The challenge is finding a way to describe
Show more
2
6
34
7.3K",graphic-design,high,lab-zero-website,install,Agent skill plus curated templates for producing higher-quality graphics from HTML.,https://x.com/shivsakhuja/status/2049952231869521970,,goose-graphics skill,"Audit skill instructions, assets, fonts, licenses, and third-party dependencies before updates."
133,2026-05-09T11:14:19,@bidah,"RO
@bidah
·
May 9
 Article
Drop your screenshots and this Claude skill turns them into animated onboarding
Let me give you the single biggest lever I've seen for mobile app conversions: you need videos showing your app's functionality during onboarding — before the paywall. That's it. But most importantly,...
14
67
970
638K",product-onboarding,high,lab-zero-website,research-later,Screenshot-to-animation skill could quickly create onboarding videos before a paywall.,https://x.com/bidah/status/2053071057737679138,,Claude animated-onboarding skill,Missing exact repository; conversion claim is promotional and screenshots may contain private data.
134,2026-05-09T13:30:22,@withgosha,"Design with Gosha 🇪🇺
@withgosha
·
May 9
Replying to 
@withgosha
Full prompt is here:

https://
promptfr.ee

Don’t waste time and credits inventing a landing page from scratch. Pick one from my one-shot prompt library.
1
221",prompt-library,high,lab-zero-website,research-later,One-shot landing-page prompt library may accelerate design exploration.,https://x.com/withgosha/status/2053105295694741688,https://t.co/XQw2LwZgrz,"https://promptfr.ee
https://t.co/XQw2LwZgrz","Review prompt quality, originality, licensing, tracking, and whether generated pages meet accessibility standards."
136,2026-05-02T13:31:34,@buttons_cool,"Buttons.cool
@buttons_cool
·
May 2
Replying to 
@dylan_wlms
Tu peux aussi transformer n’importe quel doc/article/tech bit, en skill.md grace a 
https://
getskillify.dev et ca c’est cool
Skillify — Skill.md & HTML artifacts from URLs | Claude Agent skills
From getskillify.dev
1
2
6
918",agent-skills,high,general/cloud-index,research-later,Tool claims to convert documents and URLs into skill.md files and HTML artifacts.,https://x.com/buttons_cool/status/2050568884449677399,https://t.co/3BqYIX1gck,"https://getskillify.dev
Skillify
https://t.co/3BqYIX1gck","Generated skills can embed unsafe instructions; inspect sources, prompt injection, permissions, and licensing before use."
137,2026-04-30T12:18:30,@UiSavior,"UI/UX Savior
@UiSavior
·
Apr 30
Sites on the internet for design inspiration.

Web Design → 
http://
curated.design
Landing Pages → 
http://
landing.love
Saas Websites → 
http://
saaspo.com
Navbar → 
http://
navbar.gallery
CTA Sections → 
http://
cta.gallery
Animation → 
http://
appmotion.design
Show more
1
80
511
23K",design-resources,high,lab-zero-website,add-reference,"Compact directory of specialized inspiration galleries for sites, landings, navbars, CTAs, and motion.",https://x.com/UiSavior/status/2049825721229459468,"https://t.co/vy0wk4V0be
https://t.co/vTfMGSgYtS
https://t.co/IW20suy7rd
https://t.co/0ADfKyDrQ5
https://t.co/N0p5xQYR0K
https://t.co/LZaaK4dbEA","http://curated.design
http://landing.love
http://saaspo.com
http://navbar.gallery
http://cta.gallery
http://appmotion.design","Inspiration only; check HTTPS, ownership, licenses, accessibility, and avoid visual copying."
138,2026-04-30T07:20:28,@heravideoapp,"Hera Video
@heravideoapp
·
Apr 30
This video was made with 10 prompts.

Today, we’re introducing Hera Launch: AI product launch videos with taste.

It's opinionated and works like a design studio, deciding pacing, typography, and motion curves for you.

Get a launch video in seconds at 
http://
launch.hera.video.
0:01 / 0:26
14
18
69
75K",video-production,high,lab-zero-website,research-later,Opinionated AI studio for automatically pacing and animating product launch videos.,https://x.com/heravideoapp/status/2049750718869913651,https://t.co/Tse5lt79vS,"http://launch.hera.video
Hera Launch
https://t.co/Tse5lt79vS","Verify pricing, data retention, asset rights, export quality, and brand accuracy."
139,2026-04-08T10:47:08,@viktoroddy,"Viktor Oddy
@viktoroddy
·
Apr 8
Replying to 
@viktoroddy
Access ALL prompts for stunning animated websites in one click: 
http://
motionsites.ai

PROMPT:

Create a 3x2 grid of 6 social media post cards (384px x 384px each, 16px gap) centered on the page. Every card has 12px rounded corners and overflow-hidden.

Background image:
Show more
MotionSites AI — Official Premium AI Website Prompts
From motionsites.ai
7
16
328
32K",web-design,high,lab-zero-website,research-later,Premium library of detailed prompts for animated website components.,https://x.com/viktoroddy/status/2041830194709942381,https://t.co/8ebpHNiVOM,"http://motionsites.ai
MotionSites AI
https://t.co/8ebpHNiVOM","Check subscription value, prompt ownership, originality, accessibility, and performance."
144,2026-04-29T07:30:13,@sairahul1,"Rahul
@sairahul1
·
Apr 29
Two Anthropic engineers spent 24 minutes exposing every Claude Code feature you didn't know existed. 

Most people will scroll past this. Don't be most people.
0:03 / 24:47
139
3.6K
35K
12M",developer-tools,high,general/cloud-index,add-reference,Long-form walkthrough by Anthropic engineers may reveal underused Claude Code features.,https://x.com/sairahul1/status/2049390786027167985,,Anthropic engineers' Claude Code feature video,Tweet is clickbait and lacks a direct source link; identify the official recording.
145,2026-04-28T16:13:54,@Replit,"LIVE
Replit ⠕
@Replit
·
Apr 28
Replying to 
@Replit
Try at:
AI Presentation Maker: Create and Export Slides | Replit
From replit.com
2
57
29K",presentation-tools,high,LabZeroGrants,research-later,Replit AI presentation maker offers slide creation and export.,https://x.com/Replit/status/2049160184006938843,https://t.co/GmwIBCuoe3,"Replit AI Presentation Maker
https://t.co/GmwIBCuoe3","Verify export formats, privacy, pricing, citations, accessibility, and asset licenses."
147,2026-01-22T12:44:36,@transitive_bs,"Travis Fischer
@transitive_bs
·
Jan 22
Replying to 
@Remotion
for anyone curious about the source:

skills cli: 
https://
github.com/vercel-labs/ag
ent-skills
…

remotion skills: 
https://
github.com/remotion-dev/s
kills
…
GitHub - vercel-labs/agent-skills: Vercel's official collection of agent skills
From github.com
1
5
146
26K",agent-skills,high,general/cloud-index,add-reference,Primary repositories for Vercel's skills CLI and Remotion agent skills.,https://x.com/transitive_bs/status/2014318276869070932,"https://t.co/4hTQmDcxgu
https://t.co/AFdB6MpIMQ","https://github.com/vercel-labs/agent-skills
https://github.com/remotion-dev/skills",Review each skill and pin versions; Remotion rendering can consume substantial disk and CPU.
150,2026-01-09T16:29:07,@rohit4verse,"Rohit
@rohit4verse
·
Jan 9
 Article
the 2026 ai engineer roadmap
most developers are building toys while the world demands systems. tutorial hell is a comfortable grave for your career. in 2026 the gap between a prompt engineer and a systems architect is 150k. here...
174
1K
7.6K
5.4M",ai-learning,high,general/cloud-index,add-reference,Systems-oriented AI-engineer roadmap may help prioritize production skills over tutorials.,https://x.com/rohit4verse/status/2009663737469542875,,The 2026 AI Engineer Roadmap,Salary gap and urgency language are promotional; compare with primary curricula and job postings.
153,2026-04-21T09:00:16,@milesdeutscher,"Miles Deutscher
@milesdeutscher
·
Apr 21
With all the recent codebase security vulnerabilities, running this Claude Code prompt is more important than ever.

If you've ever vibe-coded a project, use this Claude prompt to conduct a deep audit of your codebase.

Analyses API key exposures, critical errors, and more:
25
43
437
33K",security,high,general/cloud-index,add-reference,Security-audit prompt can provide a useful preliminary checklist for vibe-coded projects.,https://x.com/milesdeutscher/status/2046514343160991777,,Claude Code security-audit prompt,"An LLM prompt cannot replace secret scanners, dependency audits, SAST/DAST, threat modeling, or expert review."
154,2026-01-26T22:21:02,@joisino_en,"Ryoma Sato
@joisino_en
·
Jan 26
How LLMs Really Do Arithmetic
How LLMs Really Do Arithmetic
From arxiv.org
336
5.9K
12M",ai-research,high,general/cloud-index,add-reference,Primary research paper on how language models perform arithmetic.,https://x.com/joisino_en/status/2015912893683007793,https://arxiv.org/abs/2601.15714,"https://arxiv.org/abs/2601.15714
How LLMs Really Do Arithmetic","Preprint may not be peer reviewed; inspect methods, models, and follow-up work."
156,2026-03-17T09:31:38,@tom_doerr,"Tom Dörr
@tom_doerr
·
Mar 17
Removes AI writing patterns from prose


https://
github.com/hardikpandya/s
top-slop
…
55
362
5.8K
466K",writing-tools,high,general/cloud-index,research-later,Open-source tool specifically targeting formulaic AI-writing patterns.,https://x.com/tom_doerr/status/2033838659959468334,https://t.co/7nEXW5ie0e,"https://github.com/hardikpandya/stop-slop
https://t.co/7nEXW5ie0e",May flatten legitimate style or rewrite meaning; audit code and compare with the already installed anti-slop tool.
158,2026-03-10T14:20:18,@qwerty_ytrevvq,"Qwerty 🧀
@qwerty_ytrevvq
·
Mar 10
 Article
1000+ Free APIs That Will Replace Your Paid Subscriptions
You're paying for data that's already open. Someone just collected it in one place.
What Is This?
public-apispublic-apis is a GitHub repository. Inside - 1000+ public APIs on any topic. Free. Legal....
80
510
4.9K
2M",developer-resources,high,general/cloud-index,add-reference,Large catalog of public APIs could reduce unnecessary paid integrations.,https://x.com/qwerty_ytrevvq/status/2031374592673972225,,"public-apis GitHub repository
1000+ Free APIs article","Free does not guarantee legal, reliable, secure, maintained, or production-safe; review each API's terms and limits."
159,2025-09-06T20:22:35,@Siddharth87,"Sid Bharath
@Siddharth87
·
Sep 6, 2025
Replying to 
@jjanezhang
Yeah you can’t just let it run without carefully checking what it produces and constantly reviewing the codebase. 

It’s one of the patterns I explain here -
sidbharath.com
AI Coding Best Practices: The Universal Playbook
Forget learning a new tool—master the universal patterns that work across Claude Code, Amp, Cursor, and any AI coding agent you'll ever use.
13
5
155
24K",coding-workflow,high,general/cloud-index,add-reference,Tool-independent AI coding playbook emphasizes continuous review rather than unattended generation.,https://x.com/Siddharth87/status/1964424010315550830,https://t.co/T489Ynoiob,"AI Coding Best Practices: The Universal Playbook
sidbharath.com","Treat as guidance, then enforce with tests, review, and repository-specific rules."
162,2025-08-23T23:52:12,@gabriel1,"gabriel
@gabriel1
·
Aug 23, 2025
people think you have a better chance getting a job if you pretend like you don't care what you'll work with and happy to do anything

companies hate this, they usually don't know exactly where they wanna place you either, find something and be opinionated asap. example:
13
21
845
56K",career,high,imtisaal-portfolio,inspiration,Good positioning advice: show a clear opinion about where and how you can contribute.,https://x.com/gabriel1/status/1959403329236374004,,,Balance specificity with genuine flexibility; do not feign expertise.
166,2025-03-09T02:46:55,@gabriel1,"gabriel
@gabriel1
·
Mar 8, 2025
never compete when applying for jobs, there are hundreds of applicants with better grades and universities than you. but none of them will be making a personalized demo

i used this demo to get all my interviews like openai over two years ago before moving to sf
98
532
9K
1.6M",career,high,imtisaal-portfolio,inspiration,Personalized product demos are a strong way to differentiate applications through evidence of initiative.,https://x.com/gabriel1/status/1898566138352820561,,personalized job-application demo,"Keep scope bounded, respect company security and trademarks, and avoid substantial unpaid labor."
169,2025-03-18T20:00:42,@shwedotai,"shweta
@shwedotai
·
Mar 18, 2025
1/ Want to avoid making the cringiest ad of all time? Take notes: Perplexity dropped a cinematic masterclass.

Every frame looks like a feature film and the visual storytelling does the job of effectively marketing the product. Let’s break it down (a thread)
22
51
1.1K
212K",marketing,high,lab-zero-website,inspiration,Useful case study in cinematic product advertising and visual storytelling.,https://x.com/shwedotai/status/1902087787819753651,,Perplexity cinematic ad breakdown,Thread may omit production cost and attribution details.
184,2024-08-21T14:03:27,@benln,"Ben Lang
@benln
·
Aug 21, 2024
The 
@sama
 guide on how to succeed with a startup
7
86
1K
198K",startup-strategy,high,LabZeroGrants,add-reference,Sam Altman's startup guide is a durable founder reference.,https://x.com/benln/status/1826258819019870375,,"Startup Playbook
https://playbook.samaltman.com",General advice still needs adaptation to Lab Zero's nonprofit context.
187,2024-07-18T03:50:14,@DRTiiBiiRD,"⚡ ZERO 🛡️⚡
@DRTiiBiiRD
·
Jul 17, 2024
Replying to 
@peteyburn
 
@W2Freedom
 and 
@lailachima
My situation is a bit different, as I only worked 1099 contracts, but what I did, and what has been accepted every time, is adding a clause that triggers payment in the event of early termination before our pre-determined contract end date (typically 90 - 180 days from signing).
Show more
2
510",contracts,high,LabZeroGrants,add-reference,Early-termination payment clauses are a useful contractor-protection concept.,https://x.com/DRTiiBiiRD/status/1813783313217360258,,early-termination payment clause,Legal language must be reviewed for the governing jurisdiction.
191,2024-04-30T17:54:00,@therealviraat,"Viraat
@therealviraat
·
Apr 30, 2024
Replying to 
@ronawang
Ignore every response to this thread because they are all wrong. 

I also self-studied OS and honestly the best way read Linux Kernel Development by Robert Love . Aside from easy to follow explanations with a healthy dose of why certain decisions were made without being too
Show more
5
9
234
16K",software-learning,high,general/cloud-index,add-reference,"Specific, respected recommendation for learning operating-system internals.",https://x.com/therealviraat/status/1785367009120649371,,Linux Kernel Development by Robert Love,Book covers an older kernel era; pair with current kernel documentation.
192,2024-04-29T20:12:59,@kumailnanji,"Kumail Nanji
@kumailnanji
·
Apr 29, 2024
Replying to 
@kumailnanji
@arcinternet
  → Completely replaces Chrome. Haven't touched that thing in months. Workspaces is my fav feature because you don't have to have a bunch of different windows open


@screenstudio
  → Amazing screen recordings with mouse tracking and beautiful zooming. Plus keyboard
Show more
11
9
187
34K",productivity-tools,high,imtisaal-portfolio,research-later,Arc workspaces and Screen Studio are concrete workflow and demo-recording tools.,https://x.com/kumailnanji/status/1785039598025883836,,"Arc Browser
Screen Studio",Arc strategy and pricing may have changed; Screen Studio is paid and recordings can expose private data.
194,2024-04-30T02:22:19,@DarrienCWatson,"Darrien
@DarrienCWatson
·
Apr 29, 2024
Replying to 
@ashleyanne_p
 and 
@Trace_Cohen
Here are the links for all the top 3 cloud svcs.

Google cloud: 
https://
cloud.google.com/startup/apply

Azure: 
https://
microsoft.com/en-us/startups

AWS: 
https://
aws.amazon.com/startups/
1
3
30
8.2K",cloud-credits,high,LabZeroGrants,add-reference,Direct entry points for major startup cloud-credit programs.,https://x.com/DarrienCWatson/status/1785132546029666398,"https://t.co/2siwWfzEVe
https://t.co/2Eawm6LsdD
https://t.co/Y56BcTlyUY","https://cloud.google.com/startup/apply
https://www.microsoft.com/en-us/startups
https://aws.amazon.com/startups/","Eligibility, credit expiry, lock-in, and billing-overage rules require current verification."
201,2024-04-23T06:54:59,@malisauskasLT,"Erikas Mališauskas
@malisauskasLT
·
Apr 23, 2024
People were paying me from $3K to $10K to build their website. In some cases it took no more than 7 days to get it done. 🫣

Now that I’m not working with clients anymore, I can stop gatekeeping 😅 Here’s some tools to save you lots of money/time:
58
430
5.1K
1.6M",web-design-tools,high,lab-zero-website,add-reference,Concrete shortlist of reusable design and site-building resources.,https://x.com/malisauskasLT/status/1782664449402224782,,"Untitled UI
Webflow Templates
Framer Templates
Iconfinder","Check licenses, template quality, accessibility, recurring fees, and vendor lock-in."
208,2024-04-19T15:15:00,@marclou,"Marc Lou
@marclou
·
Apr 19, 2024
I never change my tech stack.

My 21 products get 550,000 page views per month using this simple — not fancy — tech stack:
71
171
2.4K
726K",web-development,high,lab-zero-website,add-reference,"A coherent, simple web stack reference emphasizing consistency and shipping speed.",https://x.com/marclou/status/1781340731107573826,,"React
Tailwind CSS
Next.js
daisyUI
MongoDB Atlas
Mongoose
Mailgun
Stripe
Vercel
Plausible
GitHub Copilot
AWS",2024 cost and architecture advice may be outdated; do not migrate a working project solely from this post.
216,2024-04-08T12:37:22,@akshay_pachaar,"Akshay 🚀
@akshay_pachaar
·
Apr 8, 2024
5 GitHub repositories that will give you superpowers as an AI/ML Engineer:
21
423
2.2K
570K",ai-resources,high,general/cloud-index,research-later,Names five substantial AI/ML learning or engineering repositories worth selective follow-up.,https://x.com/akshay_pachaar/status/1777314795827737041,,"https://github.com/owainlewis/awesome-artificial-intelligence
https://github.com/cleanlab/cleanlab
https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
https://github.com/dair-ai/Prompt-Engineering-Guide
https://github.com/Lightning-AI/litgpt","Curated lists may be stale or noisy; LitGPT is compute-heavy and should use cloud hardware, not this Mac."
